NOMBRE DEL INDICADOR,Banks,Valor Indicador
CUENTAS POR COBRAR,BP PRODUBANCO,90308.67471
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP PRODUBANCO,25390.11977
PROPIEDADES Y EQUIPO,BP PRODUBANCO,102996.67961
OTROS ACTIVOS,BP PRODUBANCO,284055.99529
TOTAL ACTIVO,BP PRODUBANCO,8605471.85002
GASTOS,BP PRODUBANCO,634448.20636
OBLIGACIONES CON EL PÚBLICO,BP PRODUBANCO,6670791.98435
OPERACIONES INTERBANCARIAS,BP PRODUBANCO,0.0
OBLIGACIONES INMEDIATAS,BP PRODUBANCO,14029.31335
ACEPTACIONES EN CIRCULACIÓN,BP PRODUBANCO,0.0
CUENTAS POR PAGAR,BP PRODUBANCO,254546.86128
OBLIGACIONES FINANCIERAS,BP PRODUBANCO,687613.48862
VALORES EN CIRCULACIÓN,BP PRODUBANCO,23336.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP PRODUBANCO,198500.0
OTROS PASIVOS,BP PRODUBANCO,63658.91849
TOTAL PASIVOS,BP PRODUBANCO,7912476.56609
CAPITAL SOCIAL,BP PRODUBANCO,547720.0
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP PRODUBANCO,1104.7742
RESERVAS,BP PRODUBANCO,81804.75483
OTROS APORTES PATRIMONIALES,BP PRODUBANCO,0.0
SUPERÁVIT POR VALUACIONES,BP PRODUBANCO,2419.59412
RESULTADOS,BP PRODUBANCO,4.68856
(DESVALORIZACIÓN DEL PATRIMONIO),BP PRODUBANCO,0.0
TOTAL PATRIMONIO,BP PRODUBANCO,633053.81171
INGRESOS,BP PRODUBANCO,694389.67858
CUENTAS CONTINGENTES,BP PRODUBANCO,2070822.9538
DEUDORAS,BP PRODUBANCO,178.35
DEUDORAS POR CONTRA,BP PRODUBANCO,0.0
ACREEDORAS POR CONTRA,BP PRODUBANCO,0.0
ACREEDORAS,BP PRODUBANCO,2070644.6038
CUENTAS DE ORDEN,BP PRODUBANCO,13761415.06553
CUENTAS DE ORDEN DEUDORAS,BP PRODUBANCO,1586703.66187
DEUDORAS POR CONTRA,BP PRODUBANCO,0.0
ACREEDORAS POR CONTRA,BP PRODUBANCO,0.0
CUENTAS DE ORDEN ACREEDORAS,BP PRODUBANCO,12174711.40366
FONDOS DISPONIBLES,BANCOS PRIVADOS GRANDES,4695863.97223
OPERACIONES INTERBANCARIAS,BANCOS PRIVADOS GRANDES,0.0
INVERSIONES,BANCOS PRIVADOS GRANDES,9602512.03442
CARTERA DE CRÉDITOS,BANCOS PRIVADOS GRANDES,29663267.68059
DEUDORES POR ACEPTACIONES,BANCOS PRIVADOS GRANDES,792.45418
CUENTAS POR COBRAR,BANCOS PRIVADOS GRANDES,811781.5194
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BANCOS PRIVADOS GRANDES,76488.48657
PROPIEDADES Y EQUIPO,BANCOS PRIVADOS GRANDES,563911.45499
OTROS ACTIVOS,BANCOS PRIVADOS GRANDES,2852309.79524
TOTAL ACTIVO,BANCOS PRIVADOS GRANDES,48266927.39762
GASTOS,BANCOS PRIVADOS GRANDES,3901025.08092
OBLIGACIONES CON EL PÚBLICO,BANCOS PRIVADOS GRANDES,38474189.27933
OPERACIONES INTERBANCARIAS,BANCOS PRIVADOS GRANDES,0.0
OBLIGACIONES INMEDIATAS,BANCOS PRIVADOS GRANDES,158752.06836
ACEPTACIONES EN CIRCULACIÓN,BANCOS PRIVADOS GRANDES,792.45418
CUENTAS POR PAGAR,BANCOS PRIVADOS GRANDES,1386721.51111
OBLIGACIONES FINANCIERAS,BANCOS PRIVADOS GRANDES,2678775.0526
VALORES EN CIRCULACIÓN,BANCOS PRIVADOS GRANDES,89538.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BANCOS PRIVADOS GRANDES,466785.68827
OTROS PASIVOS,BANCOS PRIVADOS GRANDES,267321.21527
TOTAL PASIVOS,BANCOS PRIVADOS GRANDES,43522875.26912
CAPITAL SOCIAL,BANCOS PRIVADOS GRANDES,3296789.043
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BANCOS PRIVADOS GRANDES,1104.7742
RESERVAS,BANCOS PRIVADOS GRANDES,636229.71386
OTROS APORTES PATRIMONIALES,BANCOS PRIVADOS GRANDES,0.0
SUPERÁVIT POR VALUACIONES,BANCOS PRIVADOS GRANDES,236381.49191
RESULTADOS,BANCOS PRIVADOS GRANDES,107177.73711
(DESVALORIZACIÓN DEL PATRIMONIO),BANCOS PRIVADOS GRANDES,0.0
TOTAL PATRIMONIO,BANCOS PRIVADOS GRANDES,4277682.76008
INGRESOS,BANCOS PRIVADOS GRANDES,4367394.44934
CUENTAS CONTINGENTES,BANCOS PRIVADOS GRANDES,13517740.91858
DEUDORAS,BANCOS PRIVADOS GRANDES,189613.69186
DEUDORAS POR CONTRA,BANCOS PRIVADOS GRANDES,0.0
ACREEDORAS POR CONTRA,BANCOS PRIVADOS GRANDES,0.0
ACREEDORAS,BANCOS PRIVADOS GRANDES,13328127.22672
CUENTAS DE ORDEN,BANCOS PRIVADOS GRANDES,109609441.16038
CUENTAS DE ORDEN DEUDORAS,BANCOS PRIVADOS GRANDES,18667582.18285
DEUDORAS POR CONTRA,BANCOS PRIVADOS GRANDES,0.0
ACREEDORAS POR CONTRA,BANCOS PRIVADOS GRANDES,0.0
CUENTAS DE ORDEN ACREEDORAS,BANCOS PRIVADOS GRANDES,90941858.97753
FONDOS DISPONIBLES,BP AUSTRO,457484.32803
OPERACIONES INTERBANCARIAS,BP AUSTRO,0.0
INVERSIONES,BP AUSTRO,634732.41666
CARTERA DE CRÉDITOS,BP AUSTRO,1753194.45375
DEUDORES POR ACEPTACIONES,BP AUSTRO,0.0
CUENTAS POR COBRAR,BP AUSTRO,79517.33333
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP AUSTRO,2073.25704
PROPIEDADES Y EQUIPO,BP AUSTRO,66642.74254
OTROS ACTIVOS,BP AUSTRO,292220.01326
TOTAL ACTIVO,BP AUSTRO,3285864.54461
GASTOS,BP AUSTRO,241846.24423
OBLIGACIONES CON EL PÚBLICO,BP AUSTRO,2771292.19188
OPERACIONES INTERBANCARIAS,BP AUSTRO,0.0
OBLIGACIONES INMEDIATAS,BP AUSTRO,4667.65959
ACEPTACIONES EN CIRCULACIÓN,BP AUSTRO,0.0
CUENTAS POR PAGAR,BP AUSTRO,69214.55222
OBLIGACIONES FINANCIERAS,BP AUSTRO,145593.75
VALORES EN CIRCULACIÓN,BP AUSTRO,0.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP AUSTRO,10997.07379
OTROS PASIVOS,BP AUSTRO,4912.40422
TOTAL PASIVOS,BP AUSTRO,3006677.6317
CAPITAL SOCIAL,BP AUSTRO,199570.0
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP AUSTRO,0.0
RESERVAS,BP AUSTRO,32148.79037
OTROS APORTES PATRIMONIALES,BP AUSTRO,0.0
SUPERÁVIT POR VALUACIONES,BP AUSTRO,30079.23622
RESULTADOS,BP AUSTRO,1382.84829
(DESVALORIZACIÓN DEL PATRIMONIO),BP AUSTRO,0.0
TOTAL PATRIMONIO,BP AUSTRO,263180.87488
INGRESOS,BP AUSTRO,257852.28226
CUENTAS CONTINGENTES,BP AUSTRO,408470.95514
DEUDORAS,BP AUSTRO,0.0
DEUDORAS POR CONTRA,BP AUSTRO,0.0
ACREEDORAS POR CONTRA,BP AUSTRO,0.0
ACREEDORAS,BP AUSTRO,408470.95514
CUENTAS DE ORDEN,BP AUSTRO,9609438.61059
CUENTAS DE ORDEN DEUDORAS,BP AUSTRO,436674.68783
DEUDORAS POR CONTRA,BP AUSTRO,0.0
ACREEDORAS POR CONTRA,BP AUSTRO,0.0
CUENTAS DE ORDEN ACREEDORAS,BP AUSTRO,9172763.92276
FONDOS DISPONIBLES,BP BOLIVARIANO,690082.9102
OPERACIONES INTERBANCARIAS,BP BOLIVARIANO,0.0
INVERSIONES,BP BOLIVARIANO,1041109.70308
CARTERA DE CRÉDITOS,BP BOLIVARIANO,3843434.68276
DEUDORES POR ACEPTACIONES,BP BOLIVARIANO,25948.71291
CUENTAS POR COBRAR,BP BOLIVARIANO,65919.94742
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP BOLIVARIANO,0.0
PROPIEDADES Y EQUIPO,BP BOLIVARIANO,52432.95433
OTROS ACTIVOS,BP BOLIVARIANO,168630.46398
TOTAL ACTIVO,BP BOLIVARIANO,5887559.37468
GASTOS,BP BOLIVARIANO,350973.64468
OBLIGACIONES CON EL PÚBLICO,BP BOLIVARIANO,4484758.98171
OPERACIONES INTERBANCARIAS,BP BOLIVARIANO,0.0
OBLIGACIONES INMEDIATAS,BP BOLIVARIANO,26598.84092
ACEPTACIONES EN CIRCULACIÓN,BP BOLIVARIANO,25948.71291
CUENTAS POR PAGAR,BP BOLIVARIANO,168587.76007
OBLIGACIONES FINANCIERAS,BP BOLIVARIANO,455489.07021
VALORES EN CIRCULACIÓN,BP BOLIVARIANO,53336.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP BOLIVARIANO,55000.0
OTROS PASIVOS,BP BOLIVARIANO,30371.9276
TOTAL PASIVOS,BP BOLIVARIANO,5300091.29342
CAPITAL SOCIAL,BP BOLIVARIANO,445000.0
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP BOLIVARIANO,0.0
RESERVAS,BP BOLIVARIANO,70802.591
OTROS APORTES PATRIMONIALES,BP BOLIVARIANO,0.0
SUPERÁVIT POR VALUACIONES,BP BOLIVARIANO,21148.84368
RESULTADOS,BP BOLIVARIANO,356.63579
(DESVALORIZACIÓN DEL PATRIMONIO),BP BOLIVARIANO,0.0
TOTAL PATRIMONIO,BP BOLIVARIANO,537308.07047
INGRESOS,BP BOLIVARIANO,401133.65547
CUENTAS CONTINGENTES,BP BOLIVARIANO,1546790.47982
DEUDORAS,BP BOLIVARIANO,0.0
DEUDORAS POR CONTRA,BP BOLIVARIANO,0.0
ACREEDORAS POR CONTRA,BP BOLIVARIANO,0.0
ACREEDORAS,BP BOLIVARIANO,1546790.47982
CUENTAS DE ORDEN,BP BOLIVARIANO,7771770.77321
CUENTAS DE ORDEN DEUDORAS,BP BOLIVARIANO,710520.57206
DEUDORAS POR CONTRA,BP BOLIVARIANO,0.0
ACREEDORAS POR CONTRA,BP BOLIVARIANO,0.0
CUENTAS DE ORDEN ACREEDORAS,BP BOLIVARIANO,7061250.20115
FONDOS DISPONIBLES,BP CITIBANK,150417.759
OPERACIONES INTERBANCARIAS,BP CITIBANK,0.0
INVERSIONES,BP CITIBANK,256715.831
CARTERA DE CRÉDITOS,BP CITIBANK,321564.161
DEUDORES POR ACEPTACIONES,BP CITIBANK,0.0
CUENTAS POR COBRAR,BP CITIBANK,7039.905
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP CITIBANK,0.0
PROPIEDADES Y EQUIPO,BP CITIBANK,3098.31
OTROS ACTIVOS,BP CITIBANK,20715.365
TOTAL ACTIVO,BP CITIBANK,759551.331
GASTOS,BP CITIBANK,31885.731
OBLIGACIONES CON EL PÚBLICO,BP CITIBANK,609425.678
OPERACIONES INTERBANCARIAS,BP CITIBANK,0.0
OBLIGACIONES INMEDIATAS,BP CITIBANK,498.8
ACEPTACIONES EN CIRCULACIÓN,BP CITIBANK,0.0
CUENTAS POR PAGAR,BP CITIBANK,36887.067
OBLIGACIONES FINANCIERAS,BP CITIBANK,0.0
VALORES EN CIRCULACIÓN,BP CITIBANK,0.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP CITIBANK,0.0
OTROS PASIVOS,BP CITIBANK,1727.941
TOTAL PASIVOS,BP CITIBANK,648539.486
CAPITAL SOCIAL,BP CITIBANK,76065.364
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP CITIBANK,0.0
RESERVAS,BP CITIBANK,15264.911
OTROS APORTES PATRIMONIALES,BP CITIBANK,0.0
SUPERÁVIT POR VALUACIONES,BP CITIBANK,1236.91
RESULTADOS,BP CITIBANK,0.0
(DESVALORIZACIÓN DEL PATRIMONIO),BP CITIBANK,0.0
TOTAL PATRIMONIO,BP CITIBANK,92567.185
INGRESOS,BP CITIBANK,50330.391
CUENTAS CONTINGENTES,BP CITIBANK,217351.888
DEUDORAS,BP CITIBANK,5294.624
DEUDORAS POR CONTRA,BP CITIBANK,0.0
ACREEDORAS POR CONTRA,BP CITIBANK,0.0
ACREEDORAS,BP CITIBANK,212057.264
CUENTAS DE ORDEN,BP CITIBANK,2582080.472
CUENTAS DE ORDEN DEUDORAS,BP CITIBANK,226020.833
DEUDORAS POR CONTRA,BP CITIBANK,0.0
ACREEDORAS POR CONTRA,BP CITIBANK,0.0
CUENTAS DE ORDEN ACREEDORAS,BP CITIBANK,2356059.639
FONDOS DISPONIBLES,BP DINERS,239096.85822
OPERACIONES INTERBANCARIAS,BP DINERS,0.0
INVERSIONES,BP DINERS,244967.77459
CARTERA DE CRÉDITOS,BP DINERS,2467693.39403
DEUDORES POR ACEPTACIONES,BP DINERS,0.0
CUENTAS POR COBRAR,BP DINERS,77771.36291
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP DINERS,0.0
PROPIEDADES Y EQUIPO,BP DINERS,6332.32865
OTROS ACTIVOS,BP DINERS,202048.72944
TOTAL ACTIVO,BP DINERS,3237910.44784
GASTOS,BP DINERS,416237.42465
OBLIGACIONES CON EL PÚBLICO,BP DINERS,1740725.34193
OPERACIONES INTERBANCARIAS,BP DINERS,0.0
OBLIGACIONES INMEDIATAS,BP DINERS,0.0
ACEPTACIONES EN CIRCULACIÓN,BP DINERS,0.0
CUENTAS POR PAGAR,BP DINERS,637248.68509
OBLIGACIONES FINANCIERAS,BP DINERS,164166.66667
VALORES EN CIRCULACIÓN,BP DINERS,0.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP DINERS,0.0
OTROS PASIVOS,BP DINERS,110494.11608
TOTAL PASIVOS,BP DINERS,2652634.80977
CAPITAL SOCIAL,BP DINERS,400000.0
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP DINERS,0.0
RESERVAS,BP DINERS,129064.91099
OTROS APORTES PATRIMONIALES,BP DINERS,0.0
SUPERÁVIT POR VALUACIONES,BP DINERS,23579.32785
RESULTADOS,BP DINERS,208.11048
(DESVALORIZACIÓN DEL PATRIMONIO),BP DINERS,0.0
TOTAL PATRIMONIO,BP DINERS,552852.34932
INGRESOS,BP DINERS,448660.7134
CUENTAS CONTINGENTES,BP DINERS,4170131.92814
DEUDORAS,BP DINERS,0.0
DEUDORAS POR CONTRA,BP DINERS,0.0
ACREEDORAS POR CONTRA,BP DINERS,0.0
ACREEDORAS,BP DINERS,4170131.92814
CUENTAS DE ORDEN,BP DINERS,7596682.00436
CUENTAS DE ORDEN DEUDORAS,BP DINERS,789286.4444
DEUDORAS POR CONTRA,BP DINERS,0.0
ACREEDORAS POR CONTRA,BP DINERS,0.0
CUENTAS DE ORDEN ACREEDORAS,BP DINERS,6807395.55996
FONDOS DISPONIBLES,BP GENERAL RUMIÑAHUI,233520.28952
OPERACIONES INTERBANCARIAS,BP GENERAL RUMIÑAHUI,0.0
INVERSIONES,BP GENERAL RUMIÑAHUI,217486.56008
CARTERA DE CRÉDITOS,BP GENERAL RUMIÑAHUI,848213.56852
DEUDORES POR ACEPTACIONES,BP GENERAL RUMIÑAHUI,0.0
CUENTAS POR COBRAR,BP GENERAL RUMIÑAHUI,39155.73569
"BIENES REALIZABLES, ADJUDICADOS POR PAGO, DE ARRENDAMIENTO MERCANTIL Y NO UTILIZADOS POR LA INSTITUCIÓN",BP GENERAL RUMIÑAHUI,355.12007
PROPIEDADES Y EQUIPO,BP GENERAL RUMIÑAHUI,4936.78863
OTROS ACTIVOS,BP GENERAL RUMIÑAHUI,43652.44649
TOTAL ACTIVO,BP GENERAL RUMIÑAHUI,1387320.509
GASTOS,BP GENERAL RUMIÑAHUI,111528.94566
OBLIGACIONES CON EL PÚBLICO,BP GENERAL RUMIÑAHUI,1119433.58993
OPERACIONES INTERBANCARIAS,BP GENERAL RUMIÑAHUI,0.0
OBLIGACIONES INMEDIATAS,BP GENERAL RUMIÑAHUI,5143.94008
ACEPTACIONES EN CIRCULACIÓN,BP GENERAL RUMIÑAHUI,0.0
CUENTAS POR PAGAR,BP GENERAL RUMIÑAHUI,49072.09038
OBLIGACIONES FINANCIERAS,BP GENERAL RUMIÑAHUI,57163.45065
VALORES EN CIRCULACIÓN,BP GENERAL RUMIÑAHUI,0.0
OBLIGACIONES CONVERTIBLES EN ACCIONES Y APORTES PARA FUTURA CAPITALIZACIÓN,BP GENERAL RUMIÑAHUI,19279.21559
OTROS PASIVOS,BP GENERAL RUMIÑAHUI,6483.63689
TOTAL PASIVOS,BP GENERAL RUMIÑAHUI,1256575.92352
CAPITAL SOCIAL,BP GENERAL RUMIÑAHUI,101836.146
PRIMA O DESCUENTO EN COLOCACIÓN DE ACCIONES Y CERTIFICADOS,BP GENERAL RUMIÑAHUI,0.0
RESERVAS,BP GENERAL RUMIÑAHUI,15096.54276
OTROS APORTES PATRIMONIALES,BP GENERAL RUMIÑAHUI,0.0
SUPERÁVIT POR VALUACIONES,BP GENERAL RUMIÑAHUI,2309.12606
RESULTADOS,BP GENERAL RUMIÑAHUI,360.31813
(DESVALORIZACIÓN DEL PATRIMONIO),BP GENERAL RUMIÑAHUI,0.0
TOTAL PATRIMONIO,BP GENERAL RUMIÑAHUI,119602.13295
INGRESOS,BP GENERAL RUMIÑAHUI,122671.39819
CUENTAS CONTINGENTES,BP GENERAL RUMIÑAHUI,166028.90242
DEUDORAS,BP GENERAL RUMIÑAHUI,0.0
DEUDORAS POR CONTRA,BP GENERAL RUMIÑAHUI,0.0
ACREEDORAS POR CONTRA,BP GENERAL RUMIÑAHUI,0.0
ACREEDORAS,BP GENERAL RUMIÑAHUI,166028.90242
CUENTAS DE ORDEN,BP GENERAL RUMIÑAHUI,2981708.66656
CUENTAS DE ORDEN DEUDORAS,BP GENERAL RUMIÑAHUI,235906.85774
DEUDORAS POR CONTRA,BP GENERAL RUMIÑAHUI,0.0
